FAC_CODE,FAC_NAME,FAC_DESCRIPTION,DIGEST Status,Change History,Cat_Ix,SCat_Ix,Source of Proposed Change,Report Number,Date of last change,Comments
"AQ130","Tunnel ","An underground or underwater passage, open at both ends, and usually containing a road or railroad.  (See also AQ090)",0,,"A","AQ",,"2.0",,"
"
"AQ135","US-Vehicle Stopping Area/Rest Area  UK-Vehicle Stopping Area/Rest Area/Lay By","A roadside place usually having facilities for people and/or vehicles.",0,,"A","AQ",,"2.0",,"
"
"AQ140","US-Vehicle Storage/Parking Area  UK-Vehicle Storage/Parking Area/Car Park/Boat Park","An open land area used for storing or parking vehicles or vessels (including recreational vehicles).  (See also AI020 and AK060)",0,,"A","AQ",,"2.0",,"
"
"AQ150","Flight of Steps  ","A series of steps or stairs reaching from one level to another.",0,,"A","AQ",,"2.0",,"
"
"AQ151","Arcade","A covered passageway composed of arches and pillars usually open at one or both sides.",0,"Version 2.1: New Feature","A","AQ","IT","2.1","07/09/99 00:00:00","To permit mapping the Italian DB25 (scale 25.000 - Italian database) to FACC.
US: (Harbaugh): Unclear as to what type of structure this is.  Is this a building?  What's the purpose of this structure?
UK:  Agree with feature addition.  Concern with definition wording.  British definitions include “covered passageway lined with shops” and “set of arches and their supporting columns”.  Suggest FWP discuss to ensure generic enough definition.YES …..but…..
CZ:  Are the words ""... steps or stairs ..."" in the definiton necessary?  We have most Arcades without stairs.
US(Buckley):  How about changing the definition to: ""A relatively permanent covered passageway or lane, roofed, and normally consisting of a series of arches supported by columns, piers or pillars; usually open on the sides and commonly lined with shops on either side, and if multi-leveled with a series of steps or stairs reaching from one level to another""?
GE:  NO  Approved, if it is made clear what that means. The definition is not clear enough. Question to IT : Is the Rialto bridge in Venice an example for that ?
IT:   ---  Further clarification will be provided at FWP7"
"ARXXX","Feature Place Holder AR","Place Holder - AR",19,,"A","AR","US","N/A","06/24/98 00:00:00","
"
"AT005","Cable  ","An insulated wire, or group of wires formed into one continuous strand, located underground or underwater.  (See also AT006, AT030  and AT060)",0,"Version 2.1: Added cross reference to AT006.","A","AT","US","2.1","05/20/99 00:00:00","Add reference to AT006 Overhead Cable
UK: YES
GE: YES  But why not one feature „cable“ differentiated with LOC ?
CZ:  Would it be sufficient having only one feature ""Cable"" and the position (underground, overhead, ...) an attribute? Instead of adding a reference mark AT006 as obsolete.
US:  (Buckley):  This change is only to add a reference to AT006, not to change this feature.  The addition of AT006 was approved in June 1997 and is required to add an overhead cable.  There was no interest expressed at the time in materially modifying this feature to remove the Underwater/Underground connotation.  We need both features to adquately map to S-57.
IT:   NO  Maybe, IT was the only nation that did not concur with the addition of the AT006 and that suggested the use of LOC035. Now we are still discussing on the opportunity to use a feature or an attribute to map a geographic entity!
IT opinion is to limit as much as possible the introduction of new redundancies, even if possible now,  to avoid confusion and unnecessary duplications."
"AT006","Overhead Cable","An insulated wire, or group of wires formed into one continuous strand and located above ground or above water surface.  (See also AT005, AT030 and AT060)",0,,"A","AT","CA","2.0A","06/24/98 00:00:00","Addition or modification required for mapping IHO S-57 to FACC.
AT006  CA proposal.  
UK suggests the provision of a more precise definition to clarify that the intention is to describe only ""overhead"" cables.
IT does not concur, suggests use of AT005 (Cable) with attribute LOC 035 ""overhead"".  
US agrees with IT position."
"AT010","US-Disk/Dish  UK-Disk Aerial/Dish Aerial","A concave object used for transmitting or receiving electronic signals.",0,,"A","AT",,"2.0",,"
"
"AT020","Early Warning Radar Site  ","An installation utilizing long range radar to detect approaching aircraft or missiles.",0,,"A","AT",,"2.0",,"
"
"AT030","Power Transmission Line ","A system of above ground wires including their supports, which transmits electricity over distance.  (See also AT005, AT006 and AT060)",0,"Version 2.1: Added cross reference to AT006.","A","AT","WP","2.1","08/01/00 00:00:00","
"
"AT040","US-Power Transmission Pylon  UK-Power Transmission Pylon/Pole","A pylon or pole used to support a power transmission line.",0,,"A","AT","WP","2.0A",,"
"
"AT041","Telepheric","A construction of cables strung between elevated supports on which carrier units are suspended.",0,,"A","AT",,"2.0",,"
"
